artigoEmPeriodico	Roberto Marcondes Cesar Junior	2017	http://dx.doi.org/10.1016/j.cviu.2016.12.003	Exploring structure for long-term tracking of multiple objects in sports videos	COMPUTER VISION AND IMAGE UNDERSTANDING	MORIMITSU, H. ; BLOCH, Isabelle ; Cesar Jr, Roberto M.	A1	Computer Vision and Image Understanding (Print)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2016	http://dx.doi.org/10.1109/TIFS.2016.2541611	Two-Dimensional Wavelet Analysis of Supraorbital Margins of the Human Skull for Characterizing Sexual Dimorphism	IEEE Transactions on Information Forensics and Security	PINTO, S. C. D. ; URBANOVA, P. ; Cesar Jr, Roberto M.	B1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2016	http://dx.doi.org/10.5206/tjr.2016.1.4.8	Notes from the Field: The Role of Datasets in Transitional Justice Research: The Case of Brazilian Truth Commission	Transitional Justice Review	MEZAROBBA, GLENDA ; Cesar, Roberto M.	Qualis nao identificado	Transitional Justice Review
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2016	http://dx.doi.org/10.1080/01431161.2016.1201227	A two-level Markov random field for road network extraction and its application with optical, SAR, and multitemporal data	International Journal of Remote Sensing (Print)	PERCIANO, T. ; TUPIN, F. ; HIRATA JR., R. ; Cesar Jr, Roberto M.	A2	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2015	http://dx.doi.org/10.1186/s12859-015-0452-0	Data-intensive analysis of HIV mutations	BMC Bioinformatics	OZAHATA, MINA CINTHO ; SABINO, ESTER CERDEIRA ; DIAZ, RICARDO SOBHIE ; CESAR-JR, ROBERTO M ; FERREIRA, JOÃO EDUARDO	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2015	http://dx.doi.org/10.1002/lom3.10058	Visual rhythm for particle analysis in sample-in-flow systems: Application for continuous plankton monitoring	Limnology and Oceanography, Methods	MATUSZEWSKI, DAMIAN J. ; Cesar, Roberto M. ; STRICKLER, J. RUDI ; BALDASSO, LUIS F. ; LOPES, RUBENS M.	Qualis nao identificado	Limnology and Oceanography, Methods
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2014	http://dx.doi.org/10.1016/j.gene.2014.03.010	Entropic Biological Score: a cell cycle investigation for GRN inference	Gene (Amsterdam)	Lopes, Fabrício M. ; RAY, SHUBHRA SANKAR ; HASHIMOTO, RONALDO F. ; Cesar, Roberto M.	B2	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2014	http://dx.doi.org/10.1016/j.ins.2014.02.096	A feature selection technique for inference of graphs from their known topological properties: Revealing scale-free gene regulatory networks	Information Sciences	Lopes, Fabrício M. ; MARTINS JR, David Corrêa ; BARRERA, Junior ; CESAR JUNIOR, R. M.	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2014	http://dx.doi.org/10.1002/asi.23010	Brazilian bibliometric coauthorship networks	Journal of the Association for Information Science and Technology	MENA-CHALCO, JESÚS PASCUAL ; DIGIAMPIETRI, LUCIANO ANTONIO ; LOPES, Fabrício M. ; CESAR JUNIOR, R. M.	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2013	http://dx.doi.org/10.1039/c3mb25475e	A methodology to infer gene networks from spatial patterns of expression - An application to fuorescence insitu hybridization images	Molecular Biosystems (Print)	CAMPITELI, MONICA GUIMARÃES ; COMIN, CESAR HENRIQUE ; COSTA, LUCIANO DA FONTOURA ; BABU, MADAN ; Cesar, Roberto Marcondes	A1	
